countryiso3code,country_name,internet_usage_pct,internet_usage_pct_year,mobile_subscriptions_per_100_year,mobile_subscriptions_per_100,population_year,population,gdp_per_capita_year,gdp_per_capita,rural_population_pct_year,rural_population_pct,latest_year,earliest_year,year_spread,complete_core_data,usage_gap_pp,population_affected_est,gap_score,population_impact_score,rural_score,economic_vulnerability_score,priority_score,priority_band,data_confidence,priority_score_alt,rank_base,rank_alt,rank_change,diagnostic_segment,display_rank
STP,Sao Tome and Principe,59.11759949,2024,2024,62.4367400312479,2025,240254.0,2025,4084.40062145233,2025,30.8278134584016,2025,2024,1,True,20.88240051,50170.80252129539,73.52941176470588,61.76470588235294,42.64705882352941,68.62745098039215,64.38725490196079,Medium,High,63.2107843137255,67.0,67.0,0.0,Affordability / economic investigation,67
BWA,Botswana,57.45950036,2024,2024,163.999922257361,2025,2562122.0,2025,7778.1151090571,2025,32.0440438467898,2025,2024,1,True,22.54049964,577515.1001863608,74.50980392156863,69.11764705882352,44.6078431372549,52.94117647058824,64.09313725490196,Medium,High,63.55392156862746,68.0,66.0,2.0,Affordability / economic investigation,68
DJI,Djibouti,65.29889679,2024,2023,48.4504884885996,2025,1184076.0,2025,3905.604954681,2025,27.0241339313525,2025,2023,2,True,14.70110321,174072.2348448396,69.6078431372549,63.23529411764706,34.80392156862745,70.58823529411765,62.671568627450974,Medium,Medium,62.0343137254902,69.0,70.0,-1.0,Affordability / economic investigation,69
LCA,St. Lucia,68.20500183,2024,2022,98.6676436534083,2025,180149.0,2025,14745.8184305461,2025,70.903428868893,2025,2022,3,True,11.79499817,21248.5712532733,66.17647058823529,58.82352941176471,90.68627450980392,38.725490196078425,62.15686274509804,Medium,Medium,61.42156862745098,70.0,72.0,-2.0,Rural / access investigation,70
SLV,El Salvador,66.47769928,2024,2024,176.517423814642,2025,6365503.0,2025,5766.72574029107,2025,24.4762876790049,2025,2024,1,True,13.522300720000004,860762.4580006218,68.13725490196079,70.58823529411765,31.862745098039213,61.27450980392157,62.05882352941177,Medium,High,62.30392156862746,71.0,68.0,3.0,Affordability / economic investigation,71
GNQ,Equatorial Guinea,63.29930115,2024,2022,49.5380486763568,2025,1938431.0,2025,6615.25245207167,2025,28.4238971541303,2025,2022,3,True,16.700698850000002,323731.5237250435,71.56862745098039,65.19607843137256,36.76470588235294,56.372549019607845,61.39705882352941,Medium,Medium,60.759803921568626,72.0,73.0,-1.0,Affordability / economic investigation,72
GRD,Grenada,70.16159821,2024,2022,95.759239776586,2025,117303.0,2025,12106.8790105068,2025,63.3291935663173,2025,2022,3,True,9.838401790000006,11540.740451723708,63.725490196078425,56.372549019607845,83.82352941176471,43.627450980392155,60.514705882352935,Medium,Medium,59.77941176470589,73.0,79.0,-6.0,Rural / access investigation,73
MUS,Mauritius,73.30793533,2024,2024,172.68356921857,2025,1243741.0,2025,12991.2935987166,2025,60.9630336631476,2025,2024,1,True,6.6920646699999935,83231.95204730463,59.80392156862745,62.745098039215684,80.88235294117648,42.64705882352941,60.416666666666664,Medium,High,60.71078431372549,74.0,74.0,0.0,Rural / access investigation,74
ZAF,South Africa,78.35759735,2024,2024,179.336329840585,2025,64747319.0,2025,6597.71450918774,2025,36.1845988997478,2025,2024,1,True,1.642402649999994,1063411.6830599497,54.41176470588235,72.54901960784314,50.49019607843137,57.35294117647059,59.85294117647057,Medium,High,61.666666666666664,75.0,71.0,4.0,Rural / access investigation,75
TUN,Tunisia,76.5,2024,2024,117.606816067203,2025,12348573.0,2025,4656.63818386852,2025,29.2970673990136,2025,2024,1,True,3.5,432200.055,57.35294117647059,67.64705882352942,39.21568627450981,65.68627450980392,59.38725490196079,Medium,High,60.41666666666667,76.0,75.0,1.0,Affordability / economic investigation,76
